#
# Gaussian Grid N320
# Each record specifies the number of grid points per row in the gaussian 
# grid and also the latitude value of the row
# 
#
#reduced points	regular points	latitude
1280	1280	0.140515
1280	1280	-0.140515
1280	1280	-0.421546
1280	1280	-0.702576
1280	1280	-0.983606
1280	1280	-1.264637
1280	1280	-1.545667
1280	1280	-1.826697
1280	1280	-2.107728
1280	1280	-2.388758
1280	1280	-2.669788
1280	1280	-2.950819
1280	1280	-3.231849
1280	1280	-3.512879
1280	1280	-3.793910
1280	1280	-4.074940
1280	1280	-4.355971
1280	1280	-4.637001
1280	1280	-4.918031
1280	1280	-5.199062
1280	1280	-5.480092
1280	1280	-5.761122
1280	1280	-6.042153
1280	1280	-6.323183
1280	1280	-6.604213
1280	1280	-6.885244
1280	1280	-7.166274
1280	1280	-7.447305
1280	1280	-7.728335
1280	1280	-8.009365
1280	1280	-8.290396
1280	1280	-8.571426
1280	1280	-8.852456
1280	1280	-9.133487
1280	1280	-9.414517
1280	1280	-9.695547
1280	1280	-9.976578
1280	1280	-10.257608
1280	1280	-10.538638
1280	1280	-10.819669
1280	1280	-11.100699
1280	1280	-11.381730
1280	1280	-11.662760
1280	1280	-11.943790
1280	1280	-12.224821
1280	1280	-12.505851
1280	1280	-12.786881
1280	1280	-13.067912
1280	1280	-13.348942
1280	1280	-13.629972
1280	1280	-13.911003
1280	1280	-14.192033
1280	1280	-14.473063
1280	1280	-14.754094
1280	1280	-15.035124
1280	1280	-15.316154
1280	1280	-15.597185
1280	1280	-15.878215
1280	1280	-16.159246
1280	1280	-16.440276
1280	1280	-16.721306
1280	1280	-17.002337
1280	1280	-17.283367
1280	1280	-17.564397
1280	1280	-17.845428
1280	1280	-18.126458
1280	1280	-18.407488
1280	1280	-18.688519
1280	1280	-18.969549
1280	1280	-19.250579
1280	1280	-19.531610
1280	1280	-19.812640
1280	1280	-20.093670
1280	1280	-20.374701
1280	1280	-20.655731
1215	1280	-20.936761
1215	1280	-21.217792
1215	1280	-21.498822
1215	1280	-21.779853
1215	1280	-22.060883
1215	1280	-22.341913
1215	1280	-22.622944
1200	1280	-22.903974
1200	1280	-23.185004
1200	1280	-23.466035
1200	1280	-23.747065
1200	1280	-24.028095
1200	1280	-24.309126
1200	1280	-24.590156
1200	1280	-24.871186
1200	1280	-25.152217
1200	1280	-25.433247
1200	1280	-25.714277
1200	1280	-25.995308
1200	1280	-26.276338
1200	1280	-26.557368
1200	1280	-26.838399
1200	1280	-27.119429
1200	1280	-27.400459
1200	1280	-27.681490
1152	1280	-27.962520
1152	1280	-28.243550
1152	1280	-28.524581
1152	1280	-28.805611
1152	1280	-29.086641
1152	1280	-29.367672
1152	1280	-29.648702
1152	1280	-29.929732
1152	1280	-30.210763
1125	1280	-30.491793
1125	1280	-30.772823
1125	1280	-31.053854
1125	1280	-31.334884
1125	1280	-31.615914
1125	1280	-31.896945
1125	1280	-32.177975
1125	1280	-32.459005
1125	1280	-32.740036
1125	1280	-33.021066
1125	1280	-33.302096
1125	1280	-33.583127
1125	1280	-33.864157
1125	1280	-34.145187
1080	1280	-34.426218
1080	1280	-34.707248
1080	1280	-34.988278
1080	1280	-35.269308
1080	1280	-35.550339
1080	1280	-35.831369
1080	1280	-36.112399
1080	1280	-36.393430
1080	1280	-36.674460
1080	1280	-36.955490
1080	1280	-37.236521
1080	1280	-37.517551
1080	1280	-37.798581
1080	1280	-38.079612
1024	1280	-38.360642
1024	1280	-38.641672
1024	1280	-38.922703
1024	1280	-39.203733
1024	1280	-39.484763
1024	1280	-39.765793
1000	1280	-40.046824
1000	1280	-40.327854
1000	1280	-40.608884
1000	1280	-40.889915
1000	1280	-41.170945
1000	1280	-41.451975
1000	1280	-41.733006
1000	1280	-42.014036
972	1280	-42.295066
972	1280	-42.576096
960	1280	-42.857127
960	1280	-43.138157
960	1280	-43.419187
960	1280	-43.700218
960	1280	-43.981248
960	1280	-44.262278
960	1280	-44.543308
960	1280	-44.824339
960	1280	-45.105369
960	1280	-45.386399
960	1280	-45.667429
960	1280	-45.948460
960	1280	-46.229490
960	1280	-46.510520
900	1280	-46.791551
900	1280	-47.072581
900	1280	-47.353611
900	1280	-47.634641
900	1280	-47.915672
900	1280	-48.196702
900	1280	-48.477732
900	1280	-48.758762
864	1280	-49.039793
864	1280	-49.320823
864	1280	-49.601853
864	1280	-49.882883
864	1280	-50.163913
864	1280	-50.444944
864	1280	-50.725974
864	1280	-51.007004
864	1280	-51.288034
864	1280	-51.569065
864	1280	-51.850095
810	1280	-52.131125
810	1280	-52.412155
800	1280	-52.693186
800	1280	-52.974216
800	1280	-53.255246
800	1280	-53.536276
800	1280	-53.817306
800	1280	-54.098337
768	1280	-54.379367
768	1280	-54.660397
768	1280	-54.941427
768	1280	-55.222457
750	1280	-55.503487
750	1280	-55.784518
750	1280	-56.065548
750	1280	-56.346578
729	1280	-56.627608
720	1280	-56.908638
720	1280	-57.189668
720	1280	-57.470699
720	1280	-57.751729
720	1280	-58.032759
720	1280	-58.313789
720	1280	-58.594819
720	1280	-58.875849
720	1280	-59.156879
675	1280	-59.437910
675	1280	-59.718940
675	1280	-59.999970
675	1280	-60.281000
648	1280	-60.562030
648	1280	-60.843060
640	1280	-61.124090
640	1280	-61.405120
640	1280	-61.686150
640	1280	-61.967180
640	1280	-62.248210
640	1280	-62.529240
640	1280	-62.810270
600	1280	-63.091300
600	1280	-63.372331
600	1280	-63.653361
600	1280	-63.934391
576	1280	-64.215421
576	1280	-64.496451
576	1280	-64.777481
576	1280	-65.058510
576	1280	-65.339540
576	1280	-65.620570
540	1280	-65.901600
540	1280	-66.182630
540	1280	-66.463660
540	1280	-66.744690
540	1280	-67.025720
512	1280	-67.306750
512	1280	-67.587780
500	1280	-67.868810
500	1280	-68.149839
500	1280	-68.430869
486	1280	-68.711899
480	1280	-68.992929
480	1280	-69.273959
480	1280	-69.554988
480	1280	-69.836018
480	1280	-70.117048
450	1280	-70.398077
450	1280	-70.679107
450	1280	-70.960137
432	1280	-71.241166
432	1280	-71.522196
432	1280	-71.803226
432	1280	-72.084255
405	1280	-72.365285
400	1280	-72.646314
400	1280	-72.927344
384	1280	-73.208373
384	1280	-73.489402
375	1280	-73.770432
375	1280	-74.051461
360	1280	-74.332490
360	1280	-74.613520
360	1280	-74.894549
360	1280	-75.175578
360	1280	-75.456607
360	1280	-75.737636
324	1280	-76.018665
320	1280	-76.299694
320	1280	-76.580723
320	1280	-76.861752
300	1280	-77.142781
300	1280	-77.423809
288	1280	-77.704838
288	1280	-77.985866
288	1280	-78.266895
270	1280	-78.547923
270	1280	-78.828951
256	1280	-79.109980
250	1280	-79.391008
240	1280	-79.672035
240	1280	-79.953063
240	1280	-80.234091
225	1280	-80.515118
216	1280	-80.796145
216	1280	-81.077172
216	1280	-81.358199
200	1280	-81.639225
192	1280	-81.920252
192	1280	-82.201278
180	1280	-82.482303
180	1280	-82.763329
180	1280	-83.044353
160	1280	-83.325378
150	1280	-83.606402
144	1280	-83.887425
144	1280	-84.168447
135	1280	-84.449469
125	1280	-84.730490
120	1280	-85.011510
120	1280	-85.292528
108	1280	-85.573545
100	1280	-85.854560
96	1280	-86.135573
90	1280	-86.416583
81	1280	-86.697590
75	1280	-86.978592
72	1280	-87.259589
72	1280	-87.540577
64	1280	-87.821556
60	1280	-88.102518
50	1280	-88.383457
45	1280	-88.664358
40	1280	-88.945191
36	1280	-89.225883
25	1280	-89.506203
18	1280	-89.784877
